left_key	left_name	right_key	right_name	chosen_key
171	Федеральная миграционная служба	28375	Управление Федеральной миграционной службы по Алтайскому краю	28375
171	Федеральная миграционная служба	28475	Управление Федеральной миграционной службы по Архангельской области	28475
171	Федеральная миграционная служба	28626	Управление Федеральной миграционной службы по Волгоградской области	28626
171	Федеральная миграционная служба	31131	Управление Федеральной миграционной службы по городу Москве	31131
171	Федеральная миграционная служба	28809	Управление Федеральной миграционной службы по Иркутской области	28809
171	Федеральная миграционная служба	28889	Управление Федеральной миграционной службы по Калужской области	28889
171	Федеральная миграционная служба	28921	Управление Федеральной миграционной службы по Кемеровской области	28921
171	Федеральная миграционная служба	29060	Управление Федеральной миграционной службы по Краснодарскому краю	29060
171	Федеральная миграционная служба	29122	Управление Федеральной миграционной службы по Красноярскому краю	29122
171	Федеральная миграционная служба	29257	Управление Федеральной миграционной службы по Липецкой области	29257
171	Федеральная миграционная служба	29486	Управление Федеральной миграционной службы по Нижегородской области	29486
171	Федеральная миграционная служба	29571	Управление Федеральной миграционной службы по Новосибирской области	29571
171	Федеральная миграционная служба	29616	Управление Федеральной миграционной службы по Омской области	29616
171	Федеральная миграционная служба	29704	Управление Федеральной миграционной службы по Орловской области	29704
171	Федеральная миграционная служба	29769	Управление Федеральной миграционной службы по Пермскому краю	29769
171	Федеральная миграционная служба	29821	Управление Федеральной миграционной службы по Приморскому краю	29821
171	Федеральная миграционная служба	29900	Управление Федеральной миграционной службы по Республике Башкортостан	29900
171	Федеральная миграционная служба	30011	Управление Федеральной миграционной службы по Республике Дагестан	30011
171	Федеральная миграционная служба	30136	Управление Федеральной миграционной службы по Республике Саха (Якутия)	30136
171	Федеральная миграционная служба	30185	Управление Федеральной миграционной службы по Республике Татарстан	30185
171	Федеральная миграционная служба	30325	Управление Федеральной миграционной службы по Рязанской области	30325
171	Федеральная миграционная служба	30355	Управление Федеральной миграционной службы по Самарской области	30355
171	Федеральная миграционная служба	30401	Управление Федеральной миграционной службы по Санкт-Петербургу и Ленинградской области	30401
171	Федеральная миграционная служба	30651	Управление Федеральной миграционной службы по Свердловской области	30651
171	Федеральная миграционная служба	30749	Управление Федеральной миграционной службы по Ставропольскому краю	30749
171	Федеральная миграционная служба	31269	Управление федеральной миграционной службы по Тверской области	31269
171	Федеральная миграционная служба	30941	Управление Федеральной миграционной службы по Ханты-Мансийскому автономному округу-Югре	30941
171	Федеральная миграционная служба	30976	Управление Федеральной миграционной службы по Челябинской области	30976
169	Федеральная служба судебных приставов	1018	Управление Федеральной службы судебных приставов по Алтайскому краю	1018
169	Федеральная служба судебных приставов	816	Управление Федеральной службы судебных приставов по Брянской области	816
169	Федеральная служба судебных приставов	928	Управление Федеральной службы судебных приставов по Волгоградской области	928
169	Федеральная служба судебных приставов	947	Управление Федеральной службы судебных приставов по Вологодской области	947
169	Федеральная служба судебных приставов	818	Управление Федеральной службы судебных приставов по Воронежской области	818
169	Федеральная служба судебных приставов	1021	Управление Федеральной службы судебных приставов по Забайкальскому краю	1021
169	Федеральная служба судебных приставов	819	Управление Федеральной службы судебных приставов по Ивановской области	819
169	Федеральная служба судебных приставов	1023	Управление Федеральной службы судебных приставов по Иркутской области	1023
169	Федеральная служба судебных приставов	820	Управление Федеральной службы судебных приставов по Калужской области	820
169	Федеральная служба судебных приставов	1026	Управление Федеральной службы судебных приставов по Кемеровской области	1026
169	Федеральная служба судебных приставов	1401	Управление Федеральной службы судебных приставов по Кировской области	1401
169	Федеральная служба судебных приставов	821	Управление Федеральной службы судебных приставов по Костромской области	821
169	Федеральная служба судебных приставов	902	Управление Федеральной службы судебных приставов по Краснодарскому краю	902
169	Федеральная служба судебных приставов	1022	Управление Федеральной службы судебных приставов по Красноярскому краю	1022
169	Федеральная служба судебных приставов	824	Управление Федеральной службы судебных приставов по Московской области	824
169	Федеральная служба судебных приставов	1417	Управление Федеральной службы судебных приставов по Нижегородской области	1417
169	Федеральная служба судебных приставов	1033	Управление Федеральной службы судебных приставов по Новосибирской области	1033
169	Федеральная служба судебных приставов	825	Управление Федеральной службы судебных приставов по Орловской области	825
169	Федеральная служба судебных приставов	1399	Управление Федеральной службы судебных приставов по Пермскому краю	1399
169	Федеральная служба судебных приставов	937	Управление Федеральной службы судебных приставов по Республике Коми	937
169	Федеральная служба судебных приставов	933	Управление Федеральной службы судебных приставов по Ростовской области	933
169	Федеральная служба судебных приставов	826	Управление Федеральной службы судебных приставов по Рязанской области	826
169	Федеральная служба судебных приставов	1428	Управление Федеральной службы судебных приставов по Самарской области	1428
169	Федеральная служба судебных приставов	1436	Управление Федеральной службы судебных приставов по Саратовской области	1436
169	Федеральная служба судебных приставов	827	Управление Федеральной службы судебных приставов по Смоленской области	827
169	Федеральная служба судебных приставов	829	Управление Федеральной службы судебных приставов по Тверской области	829
169	Федеральная служба судебных приставов	831	Управление Федеральной службы судебных приставов по Тульской области	831
169	Федеральная служба судебных приставов	1041	Управление Федеральной службы судебных приставов по Тюменской области	1041
169	Федеральная служба судебных приставов	1383	Управление Федеральной службы судебных приставов по Удмуртской Республике	1383
169	Федеральная служба судебных приставов	1042	Управление Федеральной службы судебных приставов по Челябинской области	1042
178	Министерство экономического развития Российской Федерации	209	Федеральное агентство по государственным резервам	209
28268	Отделение ОФМС России по Республике Адыгея в Тахтамукайском районе	28265	Отдел Федеральной миграционной службы по Республике Адыгея	28268
160	Федеральное агентство по недропользованию	191	Министерство природных ресурсов и экологии Российской Федерации	160
977	Управление Федеральной службы судебных приставов по Республике Саха (Якутия)	169	Федеральная служба судебных приставов	977
1382	Управление Федеральной службы судебных приставов по Республике Татарстан	169	Федеральная служба судебных приставов	1382
1437	Управление Федеральной службы судебных приставов по Ульяновской области	169	Федеральная служба судебных приставов	1437
15990	Государственное учреждение - Отделение Пенсионного фонда Российской Федерации по Карачаево-Черкесской Республике	233	Пенсионный фонд Российской Федерации	15990
14328	Государственное учреждение - Отделение Пенсионного фонда Российской Федерации по Республике Алтай	233	Пенсионный фонд Российской Федерации	14328
15737	Государственное учреждение - Отделение Пенсионного фонда Российской Федерации по Республике Ингушетия	233	Пенсионный фонд Российской Федерации	15737
14434	Государственное учреждение – Отделение Пенсионного фонда Российской Федерации по Томской области	233	Пенсионный фонд Российской Федерации	14434
221	Федеральное агентство воздушного транспорта	25724	Mежрегиональное территориальное управление воздушного транспорта Центральных районов ФАВТ	25724
203	Федеральная налоговая служба	13402	Управление Федеральной налоговой службы по Архангельской области и Ненецкому автономному округу	13402
203	Федеральная налоговая служба	13543	Управление Федеральной налоговой службы по Иркутской области	13543
203	Федеральная налоговая служба	13091	Управление Федеральной налоговой службы по Кабардино-Балкарской Республике	13091
203	Федеральная налоговая служба	13564	Управление Федеральной налоговой службы по Калининградской области	13564
203	Федеральная налоговая служба	13609	Управление Федеральной налоговой службы по Кировской области	13609
203	Федеральная налоговая служба	13267	Управление Федеральной налоговой службы по Краснодарскому краю	13267
203	Федеральная налоговая служба	13673	Управление Федеральной налоговой службы по Липецкой области	13673
203	Федеральная налоговая служба	13689	Управление Федеральной налоговой службы по Московской области	13689
203	Федеральная налоговая служба	13729	Управление Федеральной налоговой службы по Мурманской области	13729
203	Федеральная налоговая служба	13739	Управление Федеральной налоговой службы по Нижегородской области	13739
203	Федеральная налоговая служба	13772	Управление Федеральной налоговой службы по Новосибирской области	13772
203	Федеральная налоговая служба	13343	Управление Федеральной налоговой службы по Приморскому краю	13343
203	Федеральная налоговая служба	13049	Управление Федеральной налоговой службы по Республике Бурятия	13049
203	Федеральная налоговая служба	13064	Управление Федеральной налоговой службы по Республике Дагестан	13064
203	Федеральная налоговая служба	13110	Управление Федеральной налоговой службы по Республике Карелия	13110
203	Федеральная налоговая служба	13149	Управление Федеральной налоговой службы по Республике Саха (Якутия)	13149
203	Федеральная налоговая служба	13174	Управление Федеральной налоговой службы по Республике Татарстан	13174
203	Федеральная налоговая служба	13924	Управление федеральной налоговой службы по Самарской области	13924
203	Федеральная налоговая служба	14201	Управление Федеральной налоговой службы по Санкт-Петербургу	14201
203	Федеральная налоговая служба	13979	Управление Федеральной налоговой службы по Свердловской области	13979
28223	Отдел Федеральной миграционной службы по Камчатскому краю	171	Федеральная миграционная служба	28223
28241	Отдел Федеральной миграционной службы по Карачаево-Черкесской Республике	171	Федеральная миграционная служба	28241
28310	Отдел Федеральной миграционной службы по Республике Тыва	171	Федеральная миграционная служба	28310
28528	Межрайонный отдел УФМС России по Белгородской области в г. Валуйки	28521	Управление Федеральной миграционной службы по Белгородской области	28528
28550	Отдел УФМС России по Белгородской области в г. Белгород	28521	Управление Федеральной миграционной службы по Белгородской области	28550
28599	Межрайонный отдел УФМС России по Владимирской области в городе Александрове	28596	Управление Федеральной миграционной службы по Владимирской области	28599
29114	Управление по г.Сочи УФМС России по Краснодарскому краю	29060	Управление Федеральной миграционной службы по Краснодарскому краю	29114
29287	Отдел УФМС России по Московской области в Воскресенском районе	29281	Управление Федеральной миграционной службы по Московской области	29287
29320	Отдел УФМС России по Московской области в Люберецком районе	29281	Управление Федеральной миграционной службы по Московской области	29320
29329	Отдел УФМС России по Московской области в Мытищинском районе	29281	Управление Федеральной миграционной службы по Московской области	29329
29336	Отдел УФМС России по Московской области в Наро-Фоминском районе	29281	Управление Федеральной миграционной службы по Московской области	29336
29341	Отдел УФМС России по Московской области в Ногинском районе	29281	Управление Федеральной миграционной службы по Московской области	29341
